R,method,mean_EAT,mean_ECC,bottleneck_cross_coverage,node_coverage,edge_coverage,graph,repeat,num_nodes,num_edges,num_bottleneck_edges,M,walk_len,pair_samples
4,hrw,0.2134,0.4452,1.0,0.9998828124999999,0.9885126582278481,synthetic,4,160,790,2,8,6,5000
0,simple_rw,4.9028,9.8376,0.9117647058823529,0.5562283737024221,0.329185520361991,real_world,0,34,78,6,8,6,5000
0,simple_rw,4.978,9.9276,0.9411764705882353,0.5328719723183392,0.32767722473604827,real_world,1,34,78,6,8,6,5000
0,simple_rw,4.992,9.9884,0.9411764705882353,0.5268166089965397,0.3174962292609352,real_world,2,34,78,6,8,6,5000
0,simple_rw,4.9096,9.8762,0.8823529411764706,0.5397923875432525,0.3318250377073907,real_world,3,34,78,6,8,6,5000
0,simple_rw,4.9698,9.884,0.8529411764705882,0.5337370242214532,0.32843137254901966,real_world,4,34,78,6,8,6,5000
1,simple_rw,7.628,15.3228,0.9117647058823529,0.5562283737024221,0.329185520361991,real_world,0,34,78,6,8,6,5000
1,simple_rw,7.8868,15.726,0.9411764705882353,0.5328719723183392,0.32767722473604827,real_world,1,34,78,6,8,6,5000
1,simple_rw,7.8948,15.7964,0.9411764705882353,0.5268166089965397,0.3174962292609352,real_world,2,34,78,6,8,6,5000
1,simple_rw,7.7356,15.5666,0.8823529411764706,0.5397923875432525,0.3318250377073907,real_world,3,34,78,6,8,6,5000
1,simple_rw,7.8666,15.644,0.8529411764705882,0.5337370242214532,0.32843137254901966,real_world,4,34,78,6,8,6,5000
2,simple_rw,10.3532,20.808,0.9117647058823529,0.5562283737024221,0.329185520361991,real_world,0,34,78,6,8,6,5000
2,simple_rw,10.7956,21.5244,0.9411764705882353,0.5328719723183392,0.32767722473604827,real_world,1,34,78,6,8,6,5000
2,simple_rw,10.7976,21.6044,0.9411764705882353,0.5268166089965397,0.3174962292609352,real_world,2,34,78,6,8,6,5000
2,simple_rw,10.5616,21.257,0.8823529411764706,0.5397923875432525,0.3318250377073907,real_world,3,34,78,6,8,6,5000
2,simple_rw,10.7634,21.404,0.8529411764705882,0.5337370242214532,0.32843137254901966,real_world,4,34,78,6,8,6,5000
3,simple_rw,13.0784,26.2932,0.9117647058823529,0.5562283737024221,0.329185520361991,real_world,0,34,78,6,8,6,5000
3,simple_rw,13.7044,27.3228,0.9411764705882353,0.5328719723183392,0.32767722473604827,real_world,1,34,78,6,8,6,5000
3,simple_rw,13.7004,27.4124,0.9411764705882353,0.5268166089965397,0.3174962292609352,real_world,2,34,78,6,8,6,5000
3,simple_rw,13.3876,26.9474,0.8823529411764706,0.5397923875432525,0.3318250377073907,real_world,3,34,78,6,8,6,5000
3,simple_rw,13.6602,27.164,0.8529411764705882,0.5337370242214532,0.32843137254901966,real_world,4,34,78,6,8,6,5000
4,simple_rw,15.8036,31.7784,0.9117647058823529,0.5562283737024221,0.329185520361991,real_world,0,34,78,6,8,6,5000
4,simple_rw,16.6132,33.1212,0.9411764705882353,0.5328719723183392,0.32767722473604827,real_world,1,34,78,6,8,6,5000
4,simple_rw,16.6032,33.2204,0.9411764705882353,0.5268166089965397,0.3174962292609352,real_world,2,34,78,6,8,6,5000
4,simple_rw,16.2136,32.6378,0.8823529411764706,0.5397923875432525,0.3318250377073907,real_world,3,34,78,6,8,6,5000
4,simple_rw,16.557,32.924,0.8529411764705882,0.5337370242214532,0.32843137254901966,real_world,4,34,78,6,8,6,5000
0,budget_rw,4.9028,9.8376,0.9117647058823529,0.5562283737024221,0.329185520361991,real_world,0,34,78,6,8,6,5000
0,budget_rw,4.978,9.9276,0.9411764705882353,0.5328719723183392,0.32767722473604827,real_world,1,34,78,6,8,6,5000
0,budget_rw,4.992,9.9884,0.9411764705882353,0.5268166089965397,0.3174962292609352,real_world,2,34,78,6,8,6,5000
0,budget_rw,4.9096,9.8762,0.8823529411764706,0.5397923875432525,0.3318250377073907,real_world,3,34,78,6,8,6,5000
0,budget_rw,4.9698,9.884,0.8529411764705882,0.5337370242214532,0.32843137254901966,real_world,4,34,78,6,8,6,5000
1,budget_rw,6.2744,12.552,0.9705882352941176,0.6773356401384083,0.4852941176470588,real_world,0,34,78,6,8,6,5000
1,budget_rw,6.2432,12.3732,0.9705882352941176,0.6816608996539791,0.4909502262443439,real_world,1,34,78,6,8,6,5000
1,budget_rw,6.4484,12.8634,0.9411764705882353,0.6643598615916956,0.476998491704374,real_world,2,34,78,6,8,6,5000
1,budget_rw,5.9424,11.9334,0.9705882352941176,0.7067474048442907,0.5105580693815988,real_world,3,34,78,6,8,6,5000
1,budget_rw,6.3134,12.662,1.0,0.6704152249134948,0.4849170437405732,real_world,4,34,78,6,8,6,5000
2,budget_rw,6.5598,13.2596,1.0,0.7716262975778545,0.606711915535445,real_world,0,34,78,6,8,6,5000
2,budget_rw,6.784,13.469,1.0,0.7603806228373703,0.6014328808446454,real_world,1,34,78,6,8,6,5000
2,budget_rw,7.0718,14.2156,1.0,0.7482698961937716,0.5784313725490196,real_world,2,34,78,6,8,6,5000
2,budget_rw,6.7796,13.5796,1.0,0.7629757785467127,0.6040723981900453,real_world,3,34,78,6,8,6,5000
2,budget_rw,6.5018,13.0624,1.0,0.7837370242214532,0.6104826546003017,real_world,4,34,78,6,8,6,5000
3,budget_rw,7.0622,14.2482,1.0,0.8148788927335641,0.6655354449472097,real_world,0,34,78,6,8,6,5000
3,budget_rw,7.1514,14.1988,1.0,0.8088235294117647,0.6711915535444949,real_world,1,34,78,6,8,6,5000
3,budget_rw,7.0886,14.0838,1.0,0.8079584775086505,0.6606334841628959,real_world,2,34,78,6,8,6,5000
3,budget_rw,7.22,14.6064,1.0,0.8096885813148789,0.6598793363499247,real_world,3,34,78,6,8,6,5000
3,budget_rw,6.9854,14.1432,1.0,0.8131487889273356,0.6708144796380091,real_world,4,34,78,6,8,6,5000
4,budget_rw,7.1766,14.2886,1.0,0.8486159169550173,0.7175716440422323,real_world,0,34,78,6,8,6,5000
4,budget_rw,7.1682,14.337,1.0,0.8486159169550173,0.7217194570135747,real_world,1,34,78,6,8,6,5000
4,budget_rw,7.7008,15.2062,1.0,0.8295847750865051,0.7111613876319759,real_world,2,34,78,6,8,6,5000
4,budget_rw,7.6852,15.7014,1.0,0.8287197231833909,0.7096530920060332,real_world,3,34,78,6,8,6,5000
4,budget_rw,7.1096,14.5918,1.0,0.8373702422145329,0.7183257918552036,real_world,4,34,78,6,8,6,5000
0,node2vec,4.7836,9.6418,0.8823529411764706,0.5640138408304498,0.3484162895927602,real_world,0,34,78,6,8,6,5000
0,node2vec,4.8868,9.771,0.9117647058823529,0.5605536332179931,0.34049773755656115,real_world,1,34,78,6,8,6,5000
0,node2vec,4.912,9.8172,0.9117647058823529,0.5346020761245674,0.32993966817496234,real_world,2,34,78,6,8,6,5000
0,node2vec,4.8954,9.8442,1.0,0.5493079584775087,0.33257918552036203,real_world,3,34,78,6,8,6,5000
0,node2vec,4.8842,9.7446,0.9411764705882353,0.5527681660899655,0.3333333333333334,real_world,4,34,78,6,8,6,5000
1,node2vec,5.6954,11.445,1.0,0.7257785467128027,0.524132730015083,real_world,0,34,78,6,8,6,5000
1,node2vec,5.6306,11.2902,0.9705882352941176,0.7378892733564014,0.5354449472096532,real_world,1,34,78,6,8,6,5000
1,node2vec,5.8376,11.5876,0.9705882352941176,0.7283737024221453,0.5248868778280544,real_world,2,34,78,6,8,6,5000
1,node2vec,5.8984,11.7652,1.0,0.7205882352941178,0.5131975867269984,real_world,3,34,78,6,8,6,5000
1,node2vec,5.8988,11.8354,1.0,0.7128027681660899,0.5162141779788838,real_world,4,34,78,6,8,6,5000
2,node2vec,6.2538,12.5172,1.0,0.7984429065743944,0.6308446455505279,real_world,0,34,78,6,8,6,5000
2,node2vec,5.9946,11.9728,1.0,0.8062283737024221,0.6470588235294118,real_world,1,34,78,6,8,6,5000
2,node2vec,6.0466,12.1468,1.0,0.809688581314879,0.6395173453996984,real_world,2,34,78,6,8,6,5000
2,node2vec,6.1928,12.4782,1.0,0.8010380622837369,0.6297134238310709,real_world,3,34,78,6,8,6,5000
2,node2vec,6.0784,12.1592,1.0,0.8036332179930796,0.6361236802413274,real_world,4,34,78,6,8,6,5000
3,node2vec,6.4262,12.8958,1.0,0.8356401384083044,0.706636500754148,real_world,0,34,78,6,8,6,5000
3,node2vec,6.0456,12.0518,1.0,0.8598615916955016,0.7239819004524887,real_world,1,34,78,6,8,6,5000
3,node2vec,6.4968,13.026,1.0,0.8399653979238754,0.6979638009049773,real_world,2,34,78,6,8,6,5000
3,node2vec,6.431,12.7478,1.0,0.8503460207612458,0.7145550527903468,real_world,3,34,78,6,8,6,5000
3,node2vec,6.0482,12.133,1.0,0.8589965397923875,0.7104072398190046,real_world,4,34,78,6,8,6,5000
4,node2vec,6.3068,12.84,1.0,0.8762975778546712,0.7515082956259427,real_world,0,34,78,6,8,6,5000
4,node2vec,5.8586,11.3458,1.0,0.9022491349480969,0.7767722473604826,real_world,1,34,78,6,8,6,5000
4,node2vec,5.7818,11.8034,1.0,0.8961937716262977,0.7703619909502263,real_world,2,34,78,6,8,6,5000
4,node2vec,6.3846,12.8784,1.0,0.8676470588235293,0.7545248868778279,real_world,3,34,78,6,8,6,5000
4,node2vec,5.9442,11.9012,1.0,0.8884083044982697,0.7643288084464555,real_world,4,34,78,6,8,6,5000
0,non_backtracking_rw,4.7454,9.4996,0.9117647058823529,0.6003460207612458,0.39555052790346906,real_world,0,34,78,6,8,6,5000
0,non_backtracking_rw,4.7412,9.4784,0.9705882352941176,0.596885813148789,0.3970588235294118,real_world,1,34,78,6,8,6,5000
0,non_backtracking_rw,4.7852,9.579,1.0,0.5821799307958478,0.393288084464555,real_world,2,34,78,6,8,6,5000
0,non_backtracking_rw,4.7496,9.5678,0.9411764705882353,0.5674740484429066,0.3868778280542986,real_world,3,34,78,6,8,6,5000
0,non_backtracking_rw,4.7224,9.4406,1.0,0.5856401384083045,0.4004524886877828,real_world,4,34,78,6,8,6,5000
1,non_backtracking_rw,5.5692,11.196,1.0,0.7508650519031141,0.5893665158371041,real_world,0,34,78,6,8,6,5000
1,non_backtracking_rw,5.7506,11.6682,1.0,0.7205882352941175,0.5690045248868779,real_world,1,34,78,6,8,6,5000
1,non_backtracking_rw,5.6076,11.2732,1.0,0.7413494809688581,0.582579185520362,real_world,2,34,78,6,8,6,5000
1,non_backtracking_rw,5.607,11.105,1.0,0.7517301038062284,0.5931372549019607,real_world,3,34,78,6,8,6,5000
1,non_backtracking_rw,5.7044,11.4738,0.9705882352941176,0.7301038062283736,0.5690045248868778,real_world,4,34,78,6,8,6,5000
2,non_backtracking_rw,5.7188,11.5926,1.0,0.8252595155709342,0.7058823529411764,real_world,0,34,78,6,8,6,5000
2,non_backtracking_rw,5.8094,11.7788,1.0,0.8166089965397924,0.6949472096530921,real_world,1,34,78,6,8,6,5000
2,non_backtracking_rw,5.6426,11.3368,1.0,0.8304498269896194,0.7002262443438915,real_world,2,34,78,6,8,6,5000
2,non_backtracking_rw,5.79,11.5412,1.0,0.8287197231833909,0.7032428355957767,real_world,3,34,78,6,8,6,5000
2,non_backtracking_rw,6.2974,12.5908,1.0,0.7897923875432525,0.6662895927601811,real_world,4,34,78,6,8,6,5000
3,non_backtracking_rw,5.8512,11.722,1.0,0.865916955017301,0.7631975867269984,real_world,0,34,78,6,8,6,5000
3,non_backtracking_rw,6.0058,12.0354,1.0,0.8589965397923875,0.7601809954751132,real_world,1,34,78,6,8,6,5000
3,non_backtracking_rw,5.8086,11.69,1.0,0.8615916955017301,0.7613122171945701,real_world,2,34,78,6,8,6,5000
3,non_backtracking_rw,6.7084,13.2134,1.0,0.8399653979238755,0.7394419306184011,real_world,3,34,78,6,8,6,5000
3,non_backtracking_rw,6.2118,12.4738,1.0,0.852076124567474,0.747737556561086,real_world,4,34,78,6,8,6,5000
4,non_backtracking_rw,5.738,11.5446,1.0,0.8927335640138407,0.8118401206636502,real_world,0,34,78,6,8,6,5000
4,non_backtracking_rw,5.8872,11.6754,1.0,0.8953287197231833,0.819758672699849,real_world,1,34,78,6,8,6,5000
4,non_backtracking_rw,6.395,12.6458,1.0,0.8797577854671281,0.8114630467571643,real_world,2,34,78,6,8,6,5000
4,non_backtracking_rw,5.929,11.8316,1.0,0.8918685121107266,0.8099547511312217,real_world,3,34,78,6,8,6,5000
4,non_backtracking_rw,6.355,12.845,1.0,0.875432525951557,0.7918552036199095,real_world,4,34,78,6,8,6,5000
0,hrw,4.9028,9.8376,0.9117647058823529,0.5562283737024221,0.329185520361991,real_world,0,34,78,6,8,6,5000
0,hrw,4.978,9.9276,0.9411764705882353,0.5328719723183392,0.32767722473604827,real_world,1,34,78,6,8,6,5000
0,hrw,4.992,9.9884,0.9411764705882353,0.5268166089965397,0.3174962292609352,real_world,2,34,78,6,8,6,5000
0,hrw,4.9096,9.8762,0.8823529411764706,0.5397923875432525,0.3318250377073907,real_world,3,34,78,6,8,6,5000
0,hrw,4.9698,9.884,0.8529411764705882,0.5337370242214532,0.32843137254901966,real_world,4,34,78,6,8,6,5000
1,hrw,2.1942,4.3584,1.0,0.9463667820069205,0.8883861236802414,real_world,0,34,78,6,8,6,5000
1,hrw,1.9914,3.9412,1.0,0.967128027681661,0.9204374057315234,real_world,1,34,78,6,8,6,5000
1,hrw,1.923,3.7798,1.0,0.9636678200692042,0.9181749622926094,real_world,2,34,78,6,8,6,5000
1,hrw,1.8124,3.598,1.0,0.9731833910034602,0.9313725490196079,real_world,3,34,78,6,8,6,5000
1,hrw,1.9342,3.9132,1.0,0.9688581314878891,0.9185520361990951,real_world,4,34,78,6,8,6,5000
2,hrw,0.3746,0.7424,1.0,1.0,0.9992458521870288,real_world,0,34,78,6,8,6,5000
2,hrw,0.353,0.7124,1.0,1.0,1.0,real_world,1,34,78,6,8,6,5000
2,hrw,0.3918,0.7764,1.0,1.0,0.9996229260935143,real_world,2,34,78,6,8,6,5000
2,hrw,0.3306,0.6582,1.0,1.0,1.0,real_world,3,34,78,6,8,6,5000
2,hrw,0.3294,0.6532,1.0,1.0,1.0,real_world,4,34,78,6,8,6,5000
3,hrw,0.0164,0.0328,1.0,1.0,1.0,real_world,0,34,78,6,8,6,5000
3,hrw,0.0316,0.0578,1.0,1.0,1.0,real_world,1,34,78,6,8,6,5000
3,hrw,0.0206,0.0454,1.0,1.0,1.0,real_world,2,34,78,6,8,6,5000
3,hrw,0.03,0.0606,1.0,1.0,1.0,real_world,3,34,78,6,8,6,5000
3,hrw,0.0256,0.053,1.0,1.0,1.0,real_world,4,34,78,6,8,6,5000
4,hrw,0.005,0.0114,1.0,1.0,1.0,real_world,0,34,78,6,8,6,5000
4,hrw,0.0008,0.0016,1.0,1.0,1.0,real_world,1,34,78,6,8,6,5000
4,hrw,0.0024,0.006,1.0,1.0,1.0,real_world,2,34,78,6,8,6,5000
4,hrw,0.001,0.0018,1.0,1.0,1.0,real_world,3,34,78,6,8,6,5000
4,hrw,0.0028,0.0078,1.0,1.0,1.0,real_world,4,34,78,6,8,6,5000
